lemma	status	detail
abalaustrar	rejected	non_recoñecido_ou_sen_conxugacion
abarraganar	rejected	non_recoñecido_ou_sen_conxugacion
abejar	rejected	non_recoñecido_ou_sen_conxugacion
abejorrear	rejected	non_recoñecido_ou_sen_conxugacion
aborregar	rejected	non_recoñecido_ou_sen_conxugacion
abotagar	rejected	non_recoñecido_ou_sen_conxugacion
acarretar	rejected	non_recoñecido_ou_sen_conxugacion
achochar	rejected	non_recoñecido_ou_sen_conxugacion
achubascar	rejected	non_recoñecido_ou_sen_conxugacion
achulapar	rejected	non_recoñecido_ou_sen_conxugacion
achular	rejected	non_recoñecido_ou_sen_conxugacion
aconchabar	rejected	non_recoñecido_ou_sen_conxugacion
acorchar	rejected	non_recoñecido_ou_sen_conxugacion
acuclillar	rejected	non_recoñecido_ou_sen_conxugacion
acurrucar	rejected	non_recoñecido_ou_sen_conxugacion
adentrar	rejected	non_recoñecido_ou_sen_conxugacion
adinerar	rejected	non_recoñecido_ou_sen_conxugacion
adormilar	rejected	non_recoñecido_ou_sen_conxugacion
adormitar	rejected	non_recoñecido_ou_sen_conxugacion
adueñar	missing	Command '['C:\\Users\\rodri\\OneDrive\\Documentos\\GitHub\\relacion_formas_verbais_galego_castelan\\Linguakit\\linguakit.bat', 'conj', 'gl']' returned non-zero exit status 255.
afoscar	gl_only	verbo galego sen parella ES-GL
agorgojar	rejected	non_recoñecido_ou_sen_conxugacion
aguerrir	rejected	non_recoñecido_ou_sen_conxugacion
aguijonar	rejected	non_recoñecido_ou_sen_conxugacion
agusanar	rejected	non_recoñecido_ou_sen_conxugacion
antojar	rejected	non_recoñecido_ou_sen_conxugacion
argüír	missing	Command '['C:\\Users\\rodri\\OneDrive\\Documentos\\GitHub\\relacion_formas_verbais_galego_castelan\\Linguakit\\linguakit.bat', 'conj', 'gl']' returned non-zero exit status 255.
autoengañar	missing	Command '['C:\\Users\\rodri\\OneDrive\\Documentos\\GitHub\\relacion_formas_verbais_galego_castelan\\Linguakit\\linguakit.bat', 'conj', 'gl']' returned non-zero exit status 255.
endeudar	rejected	non_recoñecido_ou_sen_conxugacion
ensimismar	rejected	non_recoñecido_ou_sen_conxugacion
hay	rejected	non_recoñecido_ou_sen_conxugacion
judicializar	rejected	non_recoñecido_ou_sen_conxugacion
personar	rejected	non_recoñecido_ou_sen_conxugacion
rediseñar	missing	Command '['C:\\Users\\rodri\\OneDrive\\Documentos\\GitHub\\relacion_formas_verbais_galego_castelan\\Linguakit\\linguakit.bat', 'conj', 'gl']' returned non-zero exit status 255.
reinvertir	rejected	non_recoñecido_ou_sen_conxugacion
reubicar	rejected	non_recoñecido_ou_sen_conxugacion
telar	rejected	non_recoñecido_ou_sen_conxugacion
vanagloriar	rejected	non_recoñecido_ou_sen_conxugacion
vertir	rejected	non_recoñecido_ou_sen_conxugacion
