abalanzar	abalanzar	V
abalar	abalar	V
abalaustrar	balaustrar	V
aballar	abalar	V
abanderar	abanderar	V
abandonar	abandonar	V
abanear	abanear	V
abanicar	abanicar	V
abaratar	abaratar	V
abarcar	abarcar	V
abarcar	abranguer	V
abarloar	abarloar	V
abarquillar	abarquiñar	V
abarraganar	abarregar	V
abarrancar	abarrancar	V
abarrocar	abarrocar	V
abarrotar	abarrotar	V
abastecer	abastecer	V
abatir	abater	V
abdicar	abdicar	V
abducir	abducir	V
abejar	abellar	V
abejorrear	abelloar	V
aberrar	aberrar	V
abismar	abismar	V
abjurar	abxurar	V
ablandar	abrandar	V
abobar	abobar	V
abocar	abocar	V
abochornar	avergonzar	V
abocinar	abucinar	V
abofetear	losquear	V
abogar	avogar	V
abolir	abolir	V
abollar	abolar	V
abombar	bombear	V
abominar	abominar	V
abonar	abonar	V
abonar	cuitar	V
abonar	estercar	V
abordar	abordar	V
aborregar	emboubar	V
abortar	abortar	V
abotagar	inchar	V
abotonar	abotoar	V
abovedar	abovedar	V
aboyar	aboiar	V
abrasar	abrasar	V
abrazar	abrazar	V
abrevar	abeberar	V
abreviar	abreviar	V
abrigar	abrigar	V
abrillantar	abrillantar	V
abrir	abrir	V
abrir	desencartar	V
abrir	despechar	V
abrirfuego	abrirfogo	V
abrochar	abrochar	V
abrogar	abrogar	V
abroncar	reconvir	V
abrumar	atafegar	V
absolver	absolver	V
absorber	absorber	V
abstener	abster	V
abuchear	apupar	V
abultar	avultar	V
abundar	abundar	V
aburguesar	aburguesar	V
aburrir	aburrir	V
abusar	abusar	V
acaballar	acabalgar	V
acabar	acabar	V
academizar	academizar	V
acaecer	acaecer	V
acalabrotar	calabrotear	V
acalambrar	acalambrar	V
acallar	acalar	V
acalorar	acalorar	V
acamar	acamar	V
acampanar	acampanar	V
acampar	acampar	V
acanalar	acanalar	V
acanallar	acanallar	V
acantonar	acantonar	V
acaparar	acaparar	V
acaramelar	acaramelar	V
acariciar	acariciar	V
acariciar	acariñar	V
acariciar	agarimar	V
acariciar	aloumiñar	V
